爱好	sở thích
倒下	ngã xuống, sụp đổ
到头来	rốt cuộc
到位	đúng chỗ, đạt yêu cầu
倒计时	đếm ngược
倒数	đếm ngược
盗窃	trộm cắp
悼念	tưởng niệm, thương tiếc
道具	đạo cụ
稻草	rơm rạ
得不偿失	lợi bất cập hại
得当	thích đáng, thỏa đáng
得力	đắc lực
得失	được mất
得手	thành công, trót lọt
得体	phù hợp, đúng mực
得天独厚	thiên phú, ưu đãi đặc biệt
得益于	nhờ vào, được lợi từ
得知	được biết
得罪	mất lòng, đắc tội
灯笼	đèn lồng
灯泡	bóng đèn
登机	lên máy bay
登陆	đổ bộ, cập bến
凳子	cái ghế đẩu
低调	kín đáo, khiêm tốn
低估	đánh giá thấp
低谷	đáy, điểm thấp nhất
低价	giá thấp
低迷	ảm đạm, sa sút
低碳	ít carbon
低下	thấp kém
堤坝	đê đập
提防	đề phòng
笛子	sáo trúc
抵触	mâu thuẫn, xung đột
抵挡	chống đỡ, ngăn cản
抵消	triệt tiêu, bù trừ
抵押	thế chấp
抵御	chống lại
抵制	tẩy chay
底层	tầng đáy/tầng trệt
底线	giới hạn cuối cùng
底蕴	nội tình sâu xa
底子	nền tảng, gốc
地步	mức độ, tình trạng
地道	đường hầm/chính hiệu
地段	khu vực, đoạn đường
地理	địa lý
地毯	thảm
地下水	nước ngầm
地狱	địa ngục
地域	địa vực, khu vực
地质	địa chất
弟子	đệ tử
帝国	đế quốc
帝国主义	chủ nghĩa đế quốc
递交	đệ trình, giao nộp
第一手	trực tiếp, hạng nhất
第一线	tuyến đầu
颠倒	đảo lộn
颠覆	lật đổ
巅峰	đỉnh cao
典范	hình mẫu, tấm gương
点火	châm lửa
点击率	tỷ lệ click
点评	bình luận, nhận xét
点心	điểm tâm
点缀	tô điểm
点子	ý tưởng
电报	điện báo
电铃	chuông điện
电网	lưới điện
电线	dây điện
电信	viễn thông
电讯	điện tín, viễn thông
垫底	lót đáy/đứng chót
垫子	đệm, tấm lót
淀粉	tinh bột
惦记	nhớ tới, lo lắng
奠定	đặt nền móng
殿堂	điện đường, thánh đường
刁难	gây khó dễ
雕刻	điêu khắc
雕塑	tượng điêu khắc
吊销	thu hồi (giấy phép)
钓鱼	câu cá
调度	điều phối
掉队	tụt lại phía sau
掉头	quay đầu
迭起	liên tiếp xảy ra
叮嘱	dặn dò
钉子	cái đinh
顶多	nhiều nhất
顶级	hàng đầu
顶尖	đỉnh cao, xuất sắc nhất
订单	đơn đặt hàng
订购	đặt mua
订婚	đính hôn
订立	ký kết
定金	tiền đặt cọc
定居	định cư
定论	kết luận cuối cùng
定向	định hướng
定心丸	thuốc an thần, điều trấn an
定义	định nghĩa
定做	đặt làm riêng
丢掉	vứt bỏ, đánh mất
丢脸	mất mặt
丢弃	vứt bỏ
丢人	mất mặt, xấu hổ
丢失	mất, thất lạc
东奔西走	chạy đôn chạy đáo
东道主	chủ nhà
东张西望	nhìn ngang ngó dọc
董事	thành viên hội đồng quản trị
董事会	hội đồng quản trị
董事长	chủ tịch hội đồng quản trị
懂事	hiểu chuyện
动不动	động một tí là
动荡	biến động, bất ổn
动感	cảm giác sống động
动工	khởi công
动静	động tĩnh
动脉	động mạch
动身	lên đường
动弹	cử động, nhúc nhích
动听	hay, dễ nghe
动向	xu hướng, động thái
动用	sử dụng, huy động
冻结	đóng băng (tài sản)
栋梁	rường cột
兜儿	cái túi
兜售	rao bán, chào hàng
斗志	ý chí chiến đấu
豆浆	sữa đậu nành
豆子	hạt đậu
都会	đô thị
督促	đôn đốc
独唱	đơn ca
独家	độc quyền
独立自主	độc lập tự chủ
独身	độc thân
独一无二	độc nhất vô nhị
堵塞	tắc nghẽn
杜绝	ngăn chặn triệt để
妒忌	ghen tị
度假	nghỉ mát
渡过	vượt qua
端正	ngay ngắn, đứng đắn
短缺	thiếu hụt
短暂	ngắn ngủi
段落	đoạn văn
断定	khẳng định
断断续续	ngắt quãng, đứt đoạn
断裂	đứt gãy
堆砌	chất đống, nhồi nhét câu chữ
队形	đội hình
对白	lời thoại
对策	đối sách
对称	đối xứng
对得起	không phụ lòng
对联	câu đối
对弈	đấu cờ
对照	đối chiếu
对峙	đối đầu nhau
对准	nhắm vào, căn chỉnh
兑换	đổi tiền, quy đổi
兑现	thực hiện lời hứa
敦促	thúc giục
敦厚	đôn hậu
顿时	lập tức
多边	đa phương
多功能	đa chức năng
多亏	may nhờ có
多劳多得	làm nhiều hưởng nhiều
多年来	nhiều năm qua
多心	đa nghi, nhạy cảm quá
多余	dư thừa
多元	đa nguyên, đa dạng
哆嗦	run rẩy
夺冠	giành ngôi vô địch
夺魁	giành ngôi quán quân
躲避	trốn tránh, né tránh
躲藏	ẩn núp
舵手	hoa tiêu, người lái tàu
堕落	sa đọa
讹诈	tống tiền, hăm dọa
俄语	tiếng Nga
额外	thêm vào, ngoài định mức
厄运	vận rủi
恶化	xấu đi, trầm trọng hơn
恶劣	tồi tệ, xấu xa
恶性	ác tính
恶意	ác ý
遏制	kiềm chế, ngăn chặn
鳄鱼	cá sấu
恩赐	ban ơn
恩惠	ân huệ
恩情	ân tình
恩怨	ân oán
而已	mà thôi
耳光	cái tát
耳目一新	làm mới mẻ, thay đổi hẳn
耳熟能详	nghe quen đến thuộc lòng
耳闻目睹	tận tai nghe tận mắt thấy
二手车	xe cũ
二氧化碳	khí CO2
发布会	buổi họp báo
发财	phát tài
发愁	lo lắng
发电机	máy phát điện
发抖	run rẩy
发愤图强	quyết tâm phấn đấu vươn lên
发光	phát sáng
发火	nổi giận/bắt lửa
发酵	lên men
发掘	khai quật, phát hiện
发愣	ngẩn người
发脾气	nổi nóng
发起人	người khởi xướng
发热	phát sốt
发誓	thề
发泄	giải tỏa (cảm xúc)
发扬	phát huy
发扬光大	phát huy rộng rãi
发育	phát triển (cơ thể)
发源地	nơi bắt nguồn
发作	phát tác, bộc phát
阀门	van (cơ khí)
发型	kiểu tóc
帆船	thuyền buồm
翻番	tăng gấp đôi
翻来覆去	trằn trọc, lặp đi lặp lại
翻天覆地	long trời lở đất
烦闷	buồn bực
烦恼	phiền não
烦躁	bồn chồn, bứt rứt
繁华	phồn hoa
繁忙	bận rộn
繁体字	chữ Hán phồn thể
繁重	nặng nề (công việc)
反驳	phản bác
反差	sự tương phản
反常	bất thường
反倒	trái lại
反感	phản cảm
反过来	ngược lại
反击	phản kích
反馈	phản hồi
反面	mặt trái
反思	suy ngẫm lại
反弹	dội ngược, phản bật
反省	tự kiểm điểm
返还	hoàn trả
犯愁	lo lắng
饭碗	bát cơm, kế sinh nhai
泛滥	tràn lan
范畴	phạm trù
贩卖	buôn bán
方方面面	mọi mặt, mọi phương diện
方向盘	vô lăng
方言	tiếng địa phương
防盗	chống trộm
防盗门	cửa chống trộm
防护	phòng hộ, bảo vệ
防火墙	tường lửa
防卫	phòng vệ
防汛	phòng chống lũ lụt
防疫	phòng dịch
防御	phòng thủ
妨碍	cản trở
妨害	gây hại
房地产	bất động sản
仿制	làm giả, phỏng chế
访谈	phỏng vấn
纺织	dệt may
放过	bỏ qua, tha
放水	xả nước/cố ý thua
放肆	phóng túng, càn quấy
放映	chiếu (phim)
放置	đặt để
放纵	buông thả
飞速	tốc độ nhanh chóng
飞翔	bay lượn
飞跃	nhảy vọt
非得	nhất định phải
非法	bất hợp pháp
非凡	phi thường
绯闻	tin đồn tình ái
肥料	phân bón
肥胖	béo phì
肥沃	màu mỡ
肥皂	xà phòng
诽谤	phỉ báng
废除	bãi bỏ
废话	lời thừa, nói nhảm
废品	phế phẩm
废寝忘食	quên ăn quên ngủ
废物	đồ phế thải
废墟	phế tích, đống đổ nát
沸沸扬扬	xôn xao, náo động
沸腾	sôi sục
费劲	tốn sức, vất vả
分辨	phân biệt
分寸	chừng mực
分担	chia sẻ (gánh nặng)
分割	chia cắt
分红	chia lợi nhuận
分化	phân hóa
分泌	tiết ra
分明	rõ ràng
分歧	bất đồng
分赃	chia chác của phi pháp
分支	chi nhánh, nhánh
芬芳	thơm ngát
吩咐	dặn bảo
氛围	bầu không khí
坟墓	mộ phần
焚烧	thiêu đốt
粉丝	miến/người hâm mộ
粉碎	nghiền nát
分量	trọng lượng
分外	đặc biệt, ngoài phận sự
份额	phần, tỷ phần
奋力	ra sức, dốc sức
奋勇	dũng cảm xông lên
粪便	phân (chất thải)
丰富多彩	phong phú đa dạng
丰厚	hậu hĩnh
丰满	đầy đặn
丰盛	phong phú, thịnh soạn
丰硕	dồi dào, to lớn
风波	sóng gió, biến cố
风采	phong thái
风餐露宿	dầm sương dãi nắng
风范	phong độ, phong cách
风风雨雨	bao gian nan thăng trầm
风和日丽	trời quang mây tạnh
风浪	sóng gió, gian truân
风力	sức gió
风流	phong lưu
风貌	phong mạo, diện mạo
风气	phong khí, xu hướng chung
风情	phong tình, phong cách
风趣	hài hước, thú vị
风沙	gió cát
风尚	trào lưu, phong thượng
风水	phong thủy
风味	hương vị đặc trưng
风雨	mưa gió, gian truân
风云	thời cuộc biến động
风筝	diều
封顶	cất nóc/đặt mức trần
封建	phong kiến
封面	bìa (sách, tạp chí)
封锁	phong tỏa
疯子	kẻ điên
峰回路转	tình thế bất ngờ chuyển biến
蜂蜜	mật ong
缝合	khâu lại (vết thương)
讽刺	châm biếm
凤凰	phượng hoàng
否决	phủ quyết
孵化	ấp trứng, ươm tạo
扶持	nâng đỡ, hỗ trợ
服饰	trang phục
服务器	máy chủ
服用	uống (thuốc)
俘获	bắt được (tù binh)
俘虏	tù binh
浮力	lực đẩy nổi
浮现	hiện lên (trong tâm trí)
浮躁	nóng vội, hời hợt
辐射	bức xạ
福气	phúc khí
抚摸	vuốt ve
抚恤	trợ cấp (tử tuất)
抚养	nuôi dưỡng
抚养费	tiền cấp dưỡng
斧子	cái rìu
俯首	cúi đầu
辅导	kèm cặp, hướng dẫn
腐败	tham nhũng
腐化	thối rữa, sa đọa
腐烂	mục nát, thối rữa
腐蚀	ăn mòn
腐朽	mục nát, suy đồi
付费	trả phí
付款	thanh toán
负面	tiêu cực
负有	phải chịu (trách nhiệm)
附带	kèm theo
附和	phụ họa, hùa theo
附加	đính kèm, bổ sung
附属	trực thuộc
复查	kiểm tra lại
复发	tái phát
复合	phức hợp, tái hợp
复活	hồi sinh, phục sinh
复兴	phục hưng
复原	phục hồi
副作用	tác dụng phụ
赋予	trao cho, phú cho
富含	giàu, chứa nhiều
富豪	phú hào
富强	giàu mạnh
富翁	triệu phú
富裕	giàu có, sung túc
富足	đầy đủ, sung túc
腹部	vùng bụng
腹泻	tiêu chảy
覆盖	bao phủ
改版	sửa đổi bản in
改编	chuyển thể, cải biên
改动	sửa đổi
改革开放	cải cách mở cửa
改良	cải tiến, cải lương
改名	đổi tên
改日	hôm khác
改为	đổi thành
改邪归正	hoàn lương
盖子	cái nắp
概况	khái quát tình hình
概率	xác suất
概论	khái luận, đại cương
干戈	can qua, chiến tranh
干旱	hạn hán
干燥	khô ráo
甘心	cam tâm, cam lòng
肝脏	gan
尴尬	ngượng ngùng, khó xử
赶赴	vội đến, gấp rút đến
赶往	vội đến
敢情	hóa ra, thì ra
感触	cảm xúc, cảm nhận
感恩	biết ơn
感激	cảm kích
感慨	cảm khái, xúc động
感染	lây nhiễm
感染力	sức lôi cuốn
感叹	than thở, cảm thán
感性	cảm tính
干部	cán bộ
干事	cán sự, thư ký
刚毅	cương nghị
纲领	cương lĩnh
纲要	cương yếu, đề cương
杠铃	tạ đòn
高昂	ngẩng cao/đắt đỏ
高傲	kiêu ngạo
高超	cao siêu, xuất sắc
高低	cao thấp, chừng mực
高调	giọng điệu phô trương
高额	số tiền lớn
高尔夫球	golf
高峰期	giờ cao điểm
高贵	cao quý
高空	trên không, độ cao lớn
高龄	tuổi cao
高明	cao minh, tài giỏi
高山	núi cao
高效	hiệu quả cao
高新技术	công nghệ cao
高血压	cao huyết áp
高压	áp suất cao/điện áp cao
高雅	thanh nhã
高涨	dâng cao
搞鬼	giở trò
搞笑	gây cười
告辞	cáo từ
告诫	răn dạy, cảnh báo
告示	cáo thị, thông báo
告知	báo cho biết
告状	kiện, mách
戈壁	sa mạc Gobi
胳膊	cánh tay
鸽子	bồ câu
搁浅	mắc cạn
搁置	gác lại, để đó
歌剧	ca kịch, opera
歌颂	ca ngợi
歌舞	ca múa
歌咏	ca hát
革命	cách mạng
格格不入	lạc lõng, không hòa hợp
格局	cục diện, cấu trúc
格式	định dạng
隔阂	hiềm khích, ngăn cách
隔离	cách ly
个案	trường hợp riêng lẻ
个头儿	vóc dáng, kích cỡ
各奔前程	mỗi người một ngả
各式各样	đủ loại, đủ kiểu
根基	nền tảng, gốc rễ
根深蒂固	ăn sâu bén rễ
根源	căn nguyên, gốc rễ
根治	trị tận gốc
跟不上	theo không kịp
跟上	theo kịp
跟踪	theo dõi, bám đuôi
更改	thay đổi
更衣室	phòng thay đồ
耕地	đất canh tác
耿直	ngay thẳng
工地	công trường
工会	công đoàn
工科	ngành kỹ thuật
工商界	giới công thương
工序	công đoạn, quy trình
工整	gọn gàng, chỉn chu
工作量	khối lượng công việc
公安局	công an
公车	xe công, xe buýt
公道	công bằng, đạo lý
公费	kinh phí công
公共场所	nơi công cộng
公关	quan hệ công chúng
公函	công văn
公积金	quỹ tích lũy
公开信	thư ngỏ
公款	công quỹ
公立	công lập
公墓	nghĩa trang công cộng
公仆	công bộc
公顷	hecta
公然	công khai trắng trợn
公示	công bố công khai
公事	việc công
公务	công vụ
公益	công ích
公用	dùng chung, công cộng
公寓	chung cư
公约	công ước
公证	công chứng
公职	công chức
功臣	công thần
功底	nền tảng kỹ năng
功劳	công lao
功力	công lực, năng lực
功率	công suất
功效	công hiệu
攻读	theo học, nghiên cứu
攻关	công phá vấn đề then chốt
供不应求	cung không đủ cầu
供暖	cung cấp sưởi ấm
供求	cung cầu
宫殿	cung điện
宫廷	cung đình
恭维	tâng bốc
恭喜	chúc mừng
共鸣	cộng hưởng, đồng cảm
共识	đồng thuận
共同体	cộng đồng
共性	tính chung
供奉	thờ cúng
勾画	phác họa
勾结	câu kết, thông đồng
钩子	cái móc
构思	lên ý tưởng
构想	ý tưởng, dự định
够呛	quá quắt, khó chịu nổi
估算	ước tính
沽名钓誉	câu danh cầu lợi
孤单	cô đơn
孤立	cô lập
孤零零	cô độc, lẻ loi
孤陋寡闻	hiểu biết nông cạn
辜负	phụ lòng
古董	đồ cổ
古怪	kỳ quái
古迹	di tích cổ
古今中外	xưa nay khắp chốn
古朴	cổ kính mộc mạc
古人	người xưa
股份	cổ phần
股民	nhà đầu tư chứng khoán
股市	thị trường chứng khoán
骨干	cốt cán, nòng cốt
骨气	khí phách
骨折	gãy xương
鼓动	kích động, cổ động
鼓舞	cổ vũ, khích lệ
固然	tuy nhiên, cố nhiên
固执	cố chấp
顾不得	không màng tới được
顾不上	không kịp lo tới
顾及	quan tâm tới
顾虑	lo ngại
顾全大局	vì đại cục
雇佣	thuê, tuyển dụng
雇员	nhân viên
雇主	chủ thuê
瓜分	phân chia, xâu xé
瓜子	hạt dưa
刮风	nổi gió
寡妇	góa phụ
挂钩	móc nối, liên kết
挂号	đăng ký khám bệnh
挂念	lo lắng, nhớ mong
挂失	báo mất
乖巧	ngoan ngoãn khôn khéo
拐弯	rẽ, quẹo
拐杖	gậy chống
怪不得	thảo nào
怪物	quái vật
怪异	kỳ dị
关掉	tắt, đóng
关节	khớp xương
关税	thuế quan
关头	thời khắc quan trọng
关照	chăm sóc, quan tâm
观测	quan trắc
观感	cảm nhận, ấn tượng
观摩	tham quan học hỏi
观赏	ngắm nhìn, thưởng ngoạn
观望	chờ xem, ngóng tình hình
官兵	quan binh
官吏	quan lại
官僚	quan liêu
官僚主义	chủ nghĩa quan liêu
官员	quan chức
棺材	quan tài
管家	quản gia
管教	dạy dỗ, quản giáo
管理费	phí quản lý
管辖	quản hạt
管用	hữu dụng
管子	Quản Tử/ống dẫn
贯彻	quán triệt
贯穿	xuyên suốt
贯通	thông suốt
惯例	thông lệ
惯性	quán tính
灌溉	tưới tiêu
灌输	truyền đạt, nhồi nhét
罐头	đồ hộp
光彩	rực rỡ, vẻ vang
光碟	đĩa quang
光顾	ghé thăm
光滑	trơn nhẵn
光环	vầng hào quang
光缆	cáp quang
光芒	ánh sáng rực rỡ
光明磊落	quang minh chính đại
光泽	độ bóng
广义	nghĩa rộng
归根到底	suy cho cùng
归还	trả lại
归结	quy kết, tóm lại
归来	trở về
归纳	quy nạp, tổng kết
归属	thuộc về
归宿	nơi về, chốn dừng chân
规格	quy cách, tiêu chuẩn
规矩	quy tắc, phép tắc
闺女	con gái chưa chồng
瑰宝	báu vật
轨迹	quỹ đạo
柜台	quầy hàng
贵宾	khách quý
贵重	quý giá
贵族	quý tộc
桂花	hoa quế
滚动	lăn, cuộn
棍子	cây gậy
国宝	quốc bảo
国防	quốc phòng
国画	quốc họa
国徽	quốc huy
国情	tình hình đất nước
国土	lãnh thổ quốc gia
国学	quốc học
国有	quốc hữu
果断	quyết đoán
果园	vườn cây ăn quả
果真	quả nhiên
过半	quá nửa
过不去	gây khó dễ, khó qua
过错	lỗi lầm
过道	hành lang, lối đi
过关	qua ải, vượt qua
过奖	quá khen
过节	ăn lễ tết
过境	quá cảnh
过滤	lọc
过期	quá hạn
过日子	sống qua ngày
过剩	dư thừa
过失	lỗi lầm, sơ suất
过头	quá mức
过往	qua lại, quá khứ
过意不去	áy náy
过瘾	đã, thỏa mãn
过硬	vững chắc, đạt chuẩn
过早	quá sớm
海岸	bờ biển
海拔	độ cao so mặt biển
海滨	ven biển
海盗	hải tặc
海量	lượng khổng lồ
海绵	bọt biển
海面	mặt biển
海内外	trong và ngoài nước
海滩	bãi biển
海峡	eo biển
海啸	sóng thần
海域	vùng biển
海运	vận tải đường biển
海藻	tảo biển
骇人听闻	kinh khủng, rùng rợn
害虫	sâu bọ có hại
害臊	xấu hổ
害羞	e thẹn
酣畅	thỏa thích, sảng khoái
酣睡	ngủ say
含糊	mập mờ, hàm hồ
含蓄	hàm súc, kín đáo
函授	đào tạo hàm thụ
涵盖	bao gồm
涵义	hàm ý, nội hàm
罕见	hiếm thấy
汗水	mồ hôi
旱灾	hạn hán
捍卫	bảo vệ
行家	chuyên gia, người sành
行列	hàng ngũ
行情	giá cả thị trường
航海	đi biển, hàng hải
航天	hàng không vũ trụ
航天员	phi hành gia
航行	đi tàu/bay, hàng hành
航运	vận tải đường biển
毫不	không hề, tuyệt không
毫不犹豫	không chút do dự
毫无	hoàn toàn không có
豪华	sang trọng, xa hoa
好比	ví như
好歹	dù sao, tốt xấu
好感	thiện cảm
好坏	tốt xấu
好家伙	trời ơi
好评	đánh giá tốt
好说	dễ nói, không thành vấn đề
好笑	buồn cười
好心	tốt bụng
好心人	người tốt bụng
好意	thiện ý
好在	may mà
号称	được mệnh danh là
好客	hiếu khách
好奇心	tính tò mò
耗费	tiêu hao, tốn kém
耗时	tốn thời gian
浩劫	đại nạn, thảm họa
呵护	che chở, chăm sóc
禾苗	mạ lúa
合唱	hợp xướng
合乎	phù hợp với
合伙	hợp tác, chung vốn
合计	tổng cộng, tính toán
合情合理	hợp tình hợp lý
合影	chụp ảnh chung
合资	liên doanh
合作社	hợp tác xã
何必	hà tất, cần gì
何处	nơi nào
何苦	việc gì phải khổ vậy
何况	huống chi
何时	khi nào
和蔼	hòa nhã
和解	hòa giải
和睦	hòa thuận
和平共处	chung sống hòa bình
和气	hòa nhã, ôn hòa
和尚	hòa thượng
河流	sông ngòi
河畔	bờ sông
荷花	hoa sen
核电站	nhà máy điện hạt nhân
核对	đối chiếu, kiểm tra
核能	năng lượng hạt nhân
核实	xác minh
核桃	quả óc chó
核武器	vũ khí hạt nhân
贺电	điện mừng
贺信	thư chúc mừng
喝彩	reo hò cổ vũ
赫然	hiện ra rõ rệt
鹤立鸡群	nổi trội hơn hẳn
黑白	đen trắng, phải trái
黑客	tin tặc
黑马	ẩn số bất ngờ
黑手	bàn tay đen, kẻ giật dây
黑心	đen tối, thâm độc
痕迹	dấu vết
恨不得	ước gì, chỉ muốn
横七竖八	ngổn ngang lộn xộn
横向	theo chiều ngang
轰动	gây chấn động
轰炸	ném bom
哄堂大笑	cả phòng cười ồ
烘干	sấy khô
烘托	tô đậm, làm nổi bật
弘扬	phát huy
红灯	đèn đỏ
红火	phát đạt, sôi nổi
红扑扑	đỏ hồng hào
红润	hồng hào
红薯	khoai lang
红眼	đỏ mắt, ghen tị
宏观	vĩ mô
宏伟	hùng vĩ, đồ sộ
洪亮	vang dội, sang sảng
喉咙	cổ họng
后备	dự bị
后备箱	cốp xe
后代	hậu thế, con cháu
后盾	chỗ dựa, hậu thuẫn
后顾之忧	nỗi lo về sau
后期	giai đoạn sau
后勤	hậu cần
后人	người đời sau
后台	hậu trường
后退	lùi lại, thoái lui
后续	tiếp theo sau
后遗症	di chứng
后裔	hậu duệ
后者	cái sau, người sau
厚道	trung hậu, thật thà
厚度	độ dày
候选人	ứng cử viên
呼风唤雨	hô mưa gọi gió
呼唤	gọi, kêu gọi
呼救	kêu cứu
呼声	tiếng kêu gọi, dư luận
呼应	hô ứng, phối hợp
呼吁	kêu gọi
忽高忽低	lúc cao lúc thấp
忽悠	lừa gạt, dụ dỗ
胡闹	quậy phá
胡说	nói bậy, nói nhảm
胡思乱想	suy nghĩ viển vông
湖泊	hồ
糊涂	hồ đồ, lú lẫn
互补	bổ sung cho nhau
互访	thăm viếng lẫn nhau
互信	tin cậy lẫn nhau
互助	giúp đỡ lẫn nhau
护理	chăm sóc, điều dưỡng
花瓣	cánh hoa
花卉	hoa cỏ
花纹	hoa văn
花样	kiểu cách, hoa dạng
划算	hời, đáng giá
华丽	lộng lẫy
华侨	Hoa kiều
华裔	người gốc Hoa
哗变	binh biến
哗然	xôn xao phản đối
滑冰	trượt băng
滑稽	khôi hài
滑梯	cầu trượt
滑雪	trượt tuyết
化肥	phân bón hóa học
化身	hóa thân
化纤	sợi tổng hợp
化险为夷	biến nguy thành an
化验	xét nghiệm
化妆	trang điểm
划时代	mang tính thời đại
画册	tập tranh, album
画龙点睛	điểm nhãn, thêm nét thần
画蛇添足	vẽ rắn thêm chân, thừa thãi
画展	triển lãm tranh
话费	cước điện thoại
话筒	micro, ống nghe
话语	lời nói
怀抱	ôm ấp, vòng tay
怀旧	hoài cổ
怀里	trong lòng, vòng tay
怀孕	mang thai
槐树	cây hòe
坏事	việc xấu
欢呼	hoan hô
欢聚	vui vầy sum họp
欢快	vui tươi
欢声笑语	tiếng cười nói vui vẻ
还款	trả nợ
还原	khôi phục nguyên trạng
环球	toàn cầu
环绕	bao quanh
缓和	làm dịu, hòa hoãn
缓缓	từ từ, chậm rãi
缓慢	chậm chạp
幻觉	ảo giác
幻影	ảo ảnh
换成	đổi thành
换取	đổi lấy
换位	đổi chỗ
换言之	nói cách khác
唤起	khơi dậy, gợi lên
患病	mắc bệnh
患有	mắc phải (bệnh)
焕发	bừng sáng, tỏa ra
荒诞	hoang đường
荒凉	hoang vắng
荒谬	vô lý, hoang đường
慌乱	hoảng loạn
慌张	hoảng hốt
皇宫	hoàng cung
皇后	hoàng hậu
皇上	hoàng thượng
皇室	hoàng tộc
黄昏	hoàng hôn
恍然大悟	chợt hiểu ra
谎话	lời nói dối
谎言	lời dối trá
晃荡	lắc lư, đung đưa
灰尘	bụi bặm
灰心	nản lòng
辉煌	huy hoàng, rực rỡ
回归	trở về, hồi quy
回扣	tiền hoa hồng, lại quả
回馈	đền đáp, phản hồi
回落	giảm xuống trở lại
回升	tăng trở lại
回首	ngoảnh lại, hồi tưởng
回味	dư vị, ngẫm lại
回想	nhớ lại
回忆录	hồi ký
悔恨	hối hận
毁坏	phá hoại
毁灭	hủy diệt
汇合	hội tụ, hợp lại
汇集	tập hợp
汇聚	hội tụ, tụ họp
会场	hội trường, nơi họp
会面	gặp mặt
会晤	gặp gỡ, hội đàm
会意	hội ý
会诊	hội chẩn
绘声绘色	sinh động như thật
贿赂	hối lộ
昏迷	hôn mê
婚纱	váy cưới
婚姻	hôn nhân
浑身	khắp người, toàn thân
混凝土	bê tông
混淆	làm lẫn lộn
混浊	đục, vẩn đục
豁出去	liều mạng, bất chấp
活该	đáng đời
活期	không kỳ hạn
活儿	công việc
火锅	lẩu
火候	độ lửa, thời cơ chín muồi
火花	tia lửa
火炬	đuốc
火辣辣	nóng bỏng, cay xè
火热	nóng bỏng, sôi nổi
火山	núi lửa
火速	hỏa tốc
火焰	ngọn lửa
火药	thuốc súng
伙食	cơm ăn, khẩu phần
或多或少	ít nhiều
货币	tiền tệ
货车	xe tải
货物	hàng hóa
货运	vận chuyển hàng hóa
获胜	giành chiến thắng
获悉	được biết
祸害	tai họa
霍乱	dịch tả
豁达	khoáng đạt, cởi mở
几率	xác suất
讥笑	chế giễu
饥饿	đói khát
机舱	khoang máy bay
机动	cơ động
机灵	lanh lợi
机密	bí mật, cơ mật
机智	nhanh trí
肌肤	da thịt
积淀	tích lũy, bồi đắp
积蓄	tiền tiết kiệm
基本功	kỹ năng cơ bản
基层	cơ sở
基因	gen, di truyền
基于	dựa trên
基准	chuẩn mực
畸形	dị dạng
激发	kích phát, khơi dậy
激光	tia laser
激化	làm gay gắt thêm
激活	kích hoạt
激励	khích lệ
激起	khơi dậy, gợi lên
激素	hormone
及其	và... của nó
及早	càng sớm càng tốt
吉普	xe Jeep
吉他	đàn guitar
吉祥物	linh vật may mắn
级别	cấp bậc
极度	cực độ
极力	hết sức, ra sức
极少数	số rất ít
极为	cực kỳ
极限	giới hạn tột cùng
即便	dù rằng, ngay cả khi
即可	là được ngay
急剧	đột ngột, gấp rút
急迫	cấp bách
急性	cấp tính
急需	cần gấp
急于	vội vàng muốn
急诊	cấp cứu
急转弯	rẽ ngoặt gấp
棘手	nan giải
集会	tụ họp, mít tinh
集结	tập kết
集邮	sưu tập tem
集装箱	container
集资	góp vốn, huy động vốn
嫉妒	ghen tị
挤压	chèn ép, nén
脊梁	xương sống
计策	kế sách
计较	so đo, tính toán
计时	tính giờ
记号	dấu hiệu, ký hiệu
记忆犹新	nhớ như in
纪录片	phim tài liệu
纪念碑	đài tưởng niệm
纪念馆	nhà lưu niệm
纪念日	ngày kỷ niệm
纪实	ghi lại sự thật, phóng sự
技艺	tay nghề, kỹ nghệ
忌讳	kiêng kỵ
忌口	kiêng ăn
迹象	dấu hiệu
继而	rồi sau đó
继父	cha dượng
继母	mẹ kế
祭奠	cúng tế, tưởng niệm
祭祀	cúng tế
寄托	gửi gắm
寂静	tĩnh lặng
寂寞	cô đơn
加紧	tăng cường, đẩy nhanh
加剧	làm trầm trọng thêm
加深	làm sâu sắc thêm
加重	làm nặng thêm
佳节	ngày lễ
家伙	gã, tay này
家家户户	nhà nhà, mọi nhà
家教	gia giáo
家境	hoàn cảnh gia đình
家禽	gia cầm
家用	dùng trong gia đình
家喻户晓	ai cũng biết, nổi tiếng khắp nơi
家政	việc nội trợ, gia chính
家族	gia tộc
嘉年华	lễ hội carnival
假定	giả định
假冒	giả mạo
假设	giả thiết
假使	giả sử
假装	giả vờ
价位	mức giá
价值观	quan niệm giá trị
驾车	lái xe
驾驭	điều khiển, chế ngự
架势	tư thế, dáng vẻ
架子	cái giá, kệ
嫁妆	của hồi môn
尖端	đầu mũi nhọn
尖锐	sắc bén, gay gắt
奸诈	gian trá
歼灭	tiêu diệt
坚持不懈	kiên trì không ngừng
坚韧	dẻo dai, bền bỉ
坚实	vững chắc
坚守	giữ vững
坚信	tin chắc
坚硬	cứng rắn
肩膀	vai
肩负	gánh vác
艰巨	gian nan, khó khăn
艰苦奋斗	gian khổ phấn đấu
艰险	gian nan hiểm trở
艰辛	gian khổ, cực nhọc
监察	giám sát
监管	giám sát quản lý
监护	giám hộ
监控	giám sát, theo dõi
